157 West Street,Alden Hall,Alumni Gym,Bartlett Center,Fuller Labs,Harrington Auditorium,Salisbury Lab,Washburn Shops,Atwater Kent,Boynton Hall,Campus Center,Gordon Library,Higgins House,Project Center, Stratton Hall,Higgins Labs
,SB1,00A,,A01,OO1,OO1,,OO1,OO1,,SO1,OO2,100,OO1,OO1
,SB2,00B,,A03,OO2,OO2,,OO1A,OO2,,SO2,OO3,101,OO2,OO2
,SB3,00C,,A05,OO3,OO3,,OO1B,OO3,,OO2,OO4,102,OO3,OO3
,SB4,OO1,,A06,OO4,OO4,,OO2,OO3A,,OO3,OO5,103,OO4,OO4
,SB5,OO2,,A07,OO5,OO5,,OO3,OO4,,OO5,OO6,104,OO6,OO5
,SB6,OO3,,A09,OO6,OO6,,OO4,OO4A,,OO6,OO7,105,OO7,OO6
,SB8,B00A,,A10,OO7,OO6A,,OO4A,OO5,,OO7,OO8,106,OO9,OO7
,SB9,B00D,,A11,OO8,OO7,,OO5,OO6,,OO8,OO9,106A,OO9A,OO8
,SB10,B00F,,A12,OO8A,OO8,,OO6,OO7,,OO9,OO9A,106B,OO9B,OO9
,SB11,B00G,,A13,OO8B,OO9,,OO7,OO8,,O10,O10,106C,O10,O10
,B01,B00H,,A14,OO9,O10,,OO8,OO9,,O11,O11,106D,O11,O11
,B03,B00L,,A15,OO9A,O11,,OO9,O10,,O12,O14,106E,O12,O12
,B04,B001,,A16,OO9B,O11B,,O10,O11,,O13,O15,106F,O13,O13
,B05,B002,,A17,O10,O12,,O11,O12,,O14,O17,106G,O14,O15
,B06,B004,,A18,O11,O13,,O12,O13,,O15,O18,107,101,O16
,B07,B004A,,A19,O11A,O13A,,O13,O14,,O16,O19,108,102A,O17
,B09,B005,,A20,O12,O14,,O14,O14A,,O18,100,109,102B,O19
,B11,B007,,A21,O12A,O15,,O15,O15,,O19,103,109A,103,O20
,B12,B009,,A21A,O12B,O16,,O16,O16,,O20,107,110,104A,O21
,B13,B010,,A21B,O13,O17,,O18,O17,,O21,108,111,104B,O22
,B14,B11,,A22,O13A,O18,,O20,O18,,O22,110,111A,104C,O23
,B15,B12,,A23,O13B,O19,,O23,O19,,O23,111,112,105A,O24
,B16,B13,,A24,O14,O20,,O24,O20,,O24,114,113,105B,O24A
,B17,B14,,A25,O14A,O21,,O24A,O21,,O25,118,201,105C,O24B
,B18,B15,,A26,O15,O22,,O24B,O21A,,O27,119,202,105D,O24C
,B19,Upper Part of Pool Room,,A27,O16,O23,,O25,O21B,,101,120,203,106,O25
,B20,100A,,B03,O16A,O24,,O26,O21C,,103,122,204,107,O26
,B21,100B,,B04,O17,O25,,O26,O21D,,104,130,205,107A,O27
,B22,100C,,B05,O17A,O26,,100,101A,,105A,131,206,108,O28
,B23,100D,,B06,O17B,O27,,101,102,,106,132,207,108A,O29
,B24,100F,,B07,O17C,O28,,102,102A,,108,133,208,109A,O30
,B25,100G,,B10,O18,O29,,103,102B,,109,135,210,109B,O31
,B26,100H,,B11,O18A,O30,,104,103,,110,136,210A,110,O32
,B27,100J,,B12,O18B,O31,,105,104,,111,139,210B,111,O32A
,B28,100K,,B12a,O18C,O32A,,106,104A,,111A,141,210C,201A,O33
,B29,100L,,B14,O18D,O33,,107,104B,,112,142,211,201B,O34
,B30,100P,,B16,O18E,O33A,,108,104C,,112A,145,212,201C,O35
,B33,100S,,B17,O19,O36,,109,105,,115,146,212A,202,O36
,B34,100R,,B19,O19A,O38,,109A,105A,,116,147,213,202A,O37
,B35,101,,B20,O19B,O39,,111,107,,117,200,214,202B,O38
,B36,102,,B21,O19C,O40,,111A,107A,,117A,201,215,202C,O38A
,B37,104,,B22,O20,O41,,112,108,,118,203,216,202D,O39
,Alden Auditorium,105,,B23,O21,O42,,112A,109,,119,204,219,202E,O41
,201,105A,,B24,O21A,101,,112B,110,,120,205,,203,O42
,201A,106,,B26,O21B,102,,112D,111,,121,207,,204,O43
,201B,107,,B27,O22,104,,112E,112,,201,208,,205,O44
,202,108,,B28,O23,105,,112F,113,,202,209,,206,O45
,203,109,,B29,O24,106,,113,114,,202A,211,,207,O47
,203A,109A,,B30,101,107,,113A,115,,203,216,,208,O51
,204,109B,,B31,BasketBall Court,108,,113B,116,,204,217,,209,101
,205,110,,B32,104,109,,113C,117,,205,219,,301,102
,205A,111,,B33,104A,110,,114,118,,206,220,,302A,103
,206,111A,,Lower Perault Hall,105,112,,115,119,,208,227,,302B,103A
,207,111B,,B34a,106,113,,116,201,,209,232,,303,104
,207A,112,,101,107,115,,117,202,,210,236,,304,105
,208,113,,103,108,116,,118,203,,211,240,,305A,106
,208A,114,,104,110,117,,119,204,,212,247,,305B,107
,209,115,,105,111,118,,120A,206,,Print Station,249,,305C,1O8
